ticker,missing_flags,pl_missing_rate,cf_missing_rate,bs_missing_rate,critical_missing
7203,,0.21304347826086956,0.0,0.0,
6758,,0.22,0.27941176470588236,0.27692307692307694,
9984,,0.21,0.22916666666666666,0.0,
9434,,0.0,0.24528301886792453,0.004545454545454545,
6861,,0.0,0.2206896551724138,0.2,
4503,,0.0,0.21818181818181817,0.03125,
6098,,0.0,0.2651162790697674,0.2,
4063,,0.20454545454545456,0.21176470588235294,0.0,
8031,,0.0,0.0196078431372549,0.0043859649122807015,
8306,,0.31555555555555553,0.2591549295774648,0.3416666666666667,
8058,,0.0,0.01020408163265306,0.209375,
7267,,0.2088888888888889,0.0,0.20722891566265061,
6954,,0.006097560975609756,0.2529411764705882,0.0,
7974,,0.2,0.3076923076923077,0.004807692307692308,
8411,,0.23333333333333334,0.2608695652173913,0.35789473684210527,
8766,,0.0,0.2,0.2,
9022,,0.2,0.21304347826086956,0.20655737704918034,
9104,,0.0,0.2681818181818182,0.20303030303030303,
9202,,0.212,0.2693877551020408,0.0,
9301,,0.22666666666666666,0.23555555555555555,0.228125,
9432,,0.0,0.23673469387755103,0.21016949152542372,
9433,,0.2,0.014150943396226415,0.01171875,
9501,,0.2,0.23243243243243245,0.2074074074074074,
9502,,0.20476190476190476,0.024390243902439025,0.22181818181818183,
9503,,0.2,0.2909090909090909,0.2111111111111111,
9613,"pl_empty,cf_empty,bs_empty",1.0,1.0,1.0,"PL_all,CF_all,BS_all"
9684,,0.2,0.20434782608695654,0.20666666666666667,
9697,,0.017045454545454544,0.23265306122448978,0.20952380952380953,
9719,,0.2,0.21818181818181817,0.01639344262295082,
9735,,0.2222222222222222,0.20816326530612245,0.21866666666666668,
9983,,0.0,0.20869565217391303,0.26857142857142857,
9989,,0.015625,0.2693877551020408,0.24444444444444444,
